;solvent_names;solvent_class;base_names;base_class;temperature;ligand;Pd source;yield;article;reaction_smiles;boronate;bromide;condition_string
1076;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;60.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";IC1=NC=CC=C1.OB(O)C1=CN=C(Br)C=C1>>BrC1=CC=C(C=N1)C1=NC=CC=C1;OB(O)C1=CN=C(Br)C=C1;IC1=NC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1077;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;60.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";BrC1=CN=C(Br)C(C=O)=C1.OB(O)C1=CC=CN=C1>>BrC1=CN=C(C(C=O)=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;BrC1=CN=C(Br)C(C=O)=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1078;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;57.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";IC1=CC=C(C=N1)C1=NC=CC=C1.OB(O)C1=CN=C(Br)C=C1>>BrC1=CC=C(C=N1)C1=CC=C(C=N1)C1=NC=CC=C1;OB(O)C1=CN=C(Br)C=C1;IC1=CC=C(C=N1)C1=NC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1079;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;61.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";OB(O)C1=CC=CN=C1.BrC1=CC=C(C=N1)C1=NC=CC=C1>>C1=CN=C(C=C1)C1=CC=C(N=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;BrC1=CC=C(C=N1)C1=NC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1094;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]4;60.0;"Article; Innocenti, Paolo; Cheung, Kwai-Ming J.; Solanki, Savade; Mas-Droux, Corine; Rowan, Fiona; Yeoh, Sharon; Boxall, Kathy; Westlake, Maura; Pickard, Lisa; Hardy, Tara; Baxter, Joanne E.; Aherne, G. Wynne; Bayliss, Richard; Fry, Andrew M.; Hoelder, Swen; Journal of Medicinal Chemistry; vol. 55; 7; (2012); p. 3228 - 3241;";CN(C)CC1=C(C)C=C(S1)B(O)O.COC(=O)C1=C(OC(C)C2=CC=CC=C2C(F)(F)F)C=C(C=C1)C1=CC(Br)=CN=C1N>>COC(=O)C1=C(OC(C)C2=CC=CC=C2C(F)(F)F)C=C(C=C1)C1=CC(=CN=C1N)C1=CC(C)=C(CN(C)C)S1;CN(C)CC1=C(C)C=C(S1)B(O)O;COC(=O)C1=C(OC(C)C2=CC=CC=C2C(F)(F)F)C=C(C=C1)C1=CC(Br)=CN=C1N;DMF:water,,Na2CO3,,PPh3
1095;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]4;60.0;"Article; Guillon, Remi; Pagniez, Fabrice; Rambaud, Charlotte; Picot, Carine; Duflos, Muriel; Loge, Cedric; LePape, Patrice; ChemMedChem; vol. 6; 10; (2011); p. 1806 - 1815;";CN(CC1=CC=C(I)C=C1)CC(O)(CN1C=NC=N1)C1=CC=C(F)C=C1F.OB(O)C1=CN=C(Br)C=C1>>CN(CC1=CC=C(C=C1)C1=CN=C(Br)C=C1)CC(O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1;OB(O)C1=CN=C(Br)C=C1;CN(CC1=CC=C(I)C=C1)CC(O)(CN1C=NC=N1)C1=CC=C(F)C=C1F;DMF:water,,Na2CO3,,PPh3
1099;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;85;PPh3;Pd[P(Ph)3]4;63.0;"Article; Kuhl, Nadine; Hopkinson, Matthew N.; Glorius, Frank; Angewandte Chemie - International Edition; vol. 51; 33; (2012); p. 8230 - 8234;";CC1=CSC=C1Br.OB(O)C1=CC=CS1>>CC1=CSC=C1C1=CC=CS1;OB(O)C1=CC=CS1;CC1=CSC=C1Br;DMF:water,,Na2CO3,,PPh3
1104;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;110;P(cychex)3;Pd2(dba)3;43.0;"Article; Ohmura, Toshimichi; Morimasa, Yohei; Suginome, Michinori; Journal of the American Chemical Society; vol. 137; 8; (2015); p. 2852 - 2855;";COC1=CN=CC=C1B(O)O.Cl[H].BrC1=CC=NC=C1>>COC1=C(C=CN=C1)C1=CC=NC=C1;COC1=CN=CC=C1B(O)O;BrC1=CC=NC=C1;1,4-dioxane:water,,K3PO4,,Pcy3
1152;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;64.0;"Article; Gloaguen, Celine; Voisin-Chiret, Anne Sophie; Sopkova-De Oliveira Santos, Jana; Fogha, Jade; Gautier, Fabien; De Giorgi, Marcella; Burzicki, Gregory; Perato, Serge; Petigny-Lechartier, Cecile; Simonin-Le Jeune, Karin; Brotin, Emilie; Goux, Didier; N'Diaye, Monique; Lambert, Bernard; Louis, Marie-Helene; Ligat, Laetitia; Lopez, Frederic; Juin, Philippe; Bureau, Ronan; Rault, Sylvain; Poulain, Laurent; Journal of Medicinal Chemistry; vol. 58; 4; (2015); p. 1644 - 1668;";BrC1=CC(\C=C\C2=CC=CC=C2)=C(I)N=C1.OB(O)C1=CN=C(Br)C=C1>>BrC1=CN=C(C(\C=C\C2=CC=CC=C2)=C1)C1=CC=C(Br)N=C1;OB(O)C1=CN=C(Br)C=C1;BrC1=CC(\C=C\C2=CC=CC=C2)=C(I)N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1215;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;110;PPh3;Pd[P(Ph)3]2Cl2;59.0;"Article; Takada, Hiroyuki; Kaieda, Akira; Tawada, Michiko; Nagino, Tomoko; Sasa, Katsunori; Oikawa, Tatsuo; Oki, Akiko; Sameshima, Tomoya; Miyamoto, Kazumasa; Miyamoto, Makoto; Kokubu, Yuko; Tozawa, Ryuichi; Sakurai, Hidetoshi; Saito, Bunnai; Journal of Medicinal Chemistry; vol. 62; 20; (2019); p. 9175 - 9187;";OB(O)C1=CC=CS1.NC1=C(O)C=C(Br)C=N1>>NC1=NC=C(C=C1O)C1=CC=CS1;OB(O)C1=CC=CS1;NC1=C(O)C=C(Br)C=N1;1,4-dioxane:water,,Na2CO3,,PPh3
1216;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;56.0;"Article; Boyle, Benjamin T.; Hilton, Michael C.; McNally, Andrew; Journal of the American Chemical Society; vol. 141; 38; (2019); p. 15441 - 15449;";BrC1=CC=CS1.OB(O)C1=CN=C(Cl)C=C1>>ClC1=NC=C(C=C1)C1=CC=CS1;OB(O)C1=CN=C(Cl)C=C1;BrC1=CC=CS1;1,4-dioxane:water,,Na2CO3,,PPh3
1222;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;20;PPh3;Pd[P(Ph)3]4;30.0;"Article; Clapham, Kate M.; Batsanov, Andrei S.; Bryce, Martin R.; Tarbit, Brian; Organic and Biomolecular Chemistry; vol. 7; 10; (2009); p. 2155 - 2161;";OB(O)C1=CC=C(N=C1)C(F)(F)F.NC1=NC=C(C=C1N(=O)=O)C1=C(Br)C(=NN1C1=CC=CC=C1)C(F)(F)F>>NC1=NC=C(C=C1N(=O)=O)C1=CC(=NN1C1=CC=CC=C1)C(F)(F)F.NC1=NC=C(C=C1N(=O)=O)C1=C(C(=NN1C1=CC=CC=C1)C(F)(F)F)C1=CN=C(C=C1)C(F)(F)F;OB(O)C1=CC=C(N=C1)C(F)(F)F;NC1=NC=C(C=C1N(=O)=O)C1=C(Br)C(=NN1C1=CC=CC=C1)C(F)(F)F;1,4-dioxane:water,,Na2CO3,,PPh3
1223;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;31.0;"Article; Hilton, Stephen; Naud, Sebastien; Caldwell, John J.; Boxall, Kathy; Burns, Samantha; Anderson, Victoria E.; Antoni, Laurent; Allen, Charlotte E.; Pearl, Laurence H.; Oliver, Antony W.; Wynne Aherne; Garrett, Michelle D.; Collins, Ian; Bioorganic and Medicinal Chemistry; vol. 18; 2; (2010); p. 707 - 718;";OB(O)C1=CSC=C1.NC(=O)C1=CC=C(C=C1)C1=CC(Br)=CN=C1N>>NC(=O)C1=CC=C(C=C1)C1=CC(=CN=C1N)C1=CSC=C1;OB(O)C1=CSC=C1;NC(=O)C1=CC=C(C=C1)C1=CC(Br)=CN=C1N;1,4-dioxane:water,,Na2CO3,,PPh3
1231;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;53.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";BrC1=CN=C(C=C1)C1=CC=C(Br)N=C1.OB(O)C1=CC=CN=C1>>BrC1=CN=C(C=C1)C1=CC=C(N=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;BrC1=CN=C(C=C1)C1=CC=C(Br)N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1232;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;51.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";BrC1=CN=C(C=C1)C1=CC=C(I)N=C1.OB(O)C1=CN=C(Br)C=C1>>BrC1=CN=C(C=C1)C1=CC=C(N=C1)C1=CC=C(Br)N=C1;OB(O)C1=CN=C(Br)C=C1;BrC1=CN=C(C=C1)C1=CC=C(I)N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1234;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;30.0;"Article; Voisin-Chiret, Anne Sophie; Muraglia, Marilena; Burzicki, Gregory; Perato, Serge; Corbo, Filomena; Sopkova-De Oliveira Santos, Jana; Franchini, Carlo; Rault, Sylvain; Tetrahedron; vol. 66; 40; (2010); p. 8000 - 8005;";CC1=CC(=CN=C1Br)B(O)O.CC1=CC(Br)=CC=C1I>>CC1=CC(=CN=C1Br)C1=CC=C(Br)C=C1C;CC1=CC(=CN=C1Br)B(O)O;CC1=CC(Br)=CC=C1I;1,4-dioxane:water,,Na2CO3,,PPh3
1236;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;100;PPh3;palladium diacetate;53.0;"Article; Coumar, Mohane Selvaraj; Tsai, Ming-Tsung; Chu, Chang-Ying; Uang, Biing-Jiun; Lin, Wen-Hsing; Chang, Chun-Yu; Chang, Teng-Yuan; Leou, Jiun-Shyang; Teng, Chi-Huang; Wu, Jian-Sung; Fang, Ming-Yu; Chen, Chun-Hwa; Hsu, John T.-A.; Wu, Su-Ying; Chao, Yu-Sheng; Hsieh, Hsing-Pang; ChemMedChem; vol. 5; 2; (2010); p. 255 - 267;";OCCNC1=NC=NC2=C1C(Br)=C(O2)C1=CC=CC=C1.OB(O)C1=CC=CN=C1>>OCCNC1=NC=NC2=C1C(=C(O2)C1=CC=CC=C1)C1=CN=CC=C1;OB(O)C1=CC=CN=C1;OCCNC1=NC=NC2=C1C(Br)=C(O2)C1=CC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1248;toluene,,water;polarAromatic;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]4;46.0;"Article; Tavasli, Mustafa; Moore, Tom N.; Zheng, Yonghao; Bryce, Martin R.; Fox, Mark A.; Griffiths, Gareth C.; Jankus, Vygintas; Al-Attar, Hameed A.; Monkman, Andrew P.; Journal of Materials Chemistry; vol. 22; 13; (2012); p. 6419 - 6428;";CCCCCCN1C2=CC=CC=C2C2=C1C=C(C=C2)B(O)O.COC1=CN=C(Br)C=C1>>CCCCCCN1C2=CC=CC=C2C2=CC=C(C=C12)C1=NC=C(OC)C=C1;CCCCCCN1C2=CC=CC=C2C2=C1C=C(C=C2)B(O)O;COC1=CN=C(Br)C=C1;Toluene:water,,Na2CO3,,PPh3
1250;N,N-dimethyl-formamide,,water;polar;potassium phosphate;phosphate;110;PPh3;Pd[P(Ph)3]4;51.0;"Article; Ren, Feng; Deng, Guanghui; Wang, Hailong; Luan, Linbo; Meng, Qinghua; Xu, Qiongfeng; Xu, Heng; Xu, Xuesong; Zhang, Haibo; Zhao, Baowei; Li, Chengyong; Guo, Taylor B.; Yang, Jiansong; Zhang, Wei; Zhao, Yonggang; Jia, Qiantao; Lu, Hongtao; Xiang, Jia-Ning; Elliott, John D.; Lin, Xichen; Journal of Medicinal Chemistry; vol. 55; 9; (2012); p. 4286 - 4296;";CC(C)CC1=CC=C(C=C1C#N)C1=NC(Br)=NS1.CCC1=C(C=NC=C1Br)B(O)O>>CCC1=C(C=NC=C1Br)C1=NSC(=N1)C1=CC(C#N)=C(CC(C)C)C=C1;CCC1=C(C=NC=C1Br)B(O)O;CC(C)CC1=CC=C(C=C1C#N)C1=NC(Br)=NS1;DMF:water,,K3PO4,,PPh3
1293;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;80;dppf;Pd(dppf)Cl2;21.0;"Article; Yokoyama, Hiroyuki; Ueda, Yoshihiro; Fujita, Daishi; Sato, Sota; Fujita, Makoto; Chemistry - An Asian Journal; vol. 10; 10; (2015); p. 2292 - 2295;";OB(O)C1=CC=NC=C1.IC1=CC(I)=NC=N1.OB(O)C1=CC=NC=C1>>C1=CC(=CC=N1)C1=CC(=NC=N1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;Ic1cc(-c2ccncc2)ncn1;1,4-dioxane:water,,K3PO4,,dppf
1297;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]4;48.0;"Article; Degorce, Sebastien L.; Barlaam, Bernard; Cadogan, Elaine; Dishington, Allan; Ducray, Richard; Glossop, Steven C.; Hassall, Lorraine A.; Lach, Franck; Lau, Alan; McGuire, Thomas M.; Nowak, Thorsten; Ouvry, Gilles; Pike, Kurt G.; Thomason, Andrew G.; Journal of Medicinal Chemistry; vol. 59; 13; (2016); p. 6281 - 6292;";NC(=O)C1=C(NC2CCOCC2)C2=CC(Br)=C(Cl)C=C2N=C1.OB(O)C1=CC=CN=C1>>NC(=O)C1=C(NC2CCOCC2)C2=CC(=C(Cl)C=C2N=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;NC(=O)C1=C(NC2CCOCC2)C2=CC(Br)=C(Cl)C=C2N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1298;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]4;54.0;"Article; Degorce, Sebastien L.; Barlaam, Bernard; Cadogan, Elaine; Dishington, Allan; Ducray, Richard; Glossop, Steven C.; Hassall, Lorraine A.; Lach, Franck; Lau, Alan; McGuire, Thomas M.; Nowak, Thorsten; Ouvry, Gilles; Pike, Kurt G.; Thomason, Andrew G.; Journal of Medicinal Chemistry; vol. 59; 13; (2016); p. 6281 - 6292;";CCOC(=O)C1=C(OCC(CC)CC)C2=CC(Br)=CC=C2N=C1.OB(O)C1=CC=CN=C1>>CCOC(=O)C1=C(OCC(CC)CC)C2=CC(=CC=C2N=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;CCOC(=O)C1=C(OCC(CC)CC)C2=CC(Br)=CC=C2N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1304;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;70;PPh3;Pd[P(Ph)3]2Cl2;50.0;"Article; Meineke, Dirk N. H.; Bossi, Mariano L.; Ta, Haisen; Belov, Vladimir N.; Hell, Stefan W.; Chemistry - A European Journal; vol. 23; 10; (2017); p. 2469 - 2475;";COC1=CC=C(C=C1)C1=CC=C(S1)C1=C(Br)C=C(I)S1.OB(O)C1=CC=NC=C1>>COC1=CC=C(C=C1)C1=CC=C(S1)C1=C(Br)C=C(S1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;COC1=CC=C(C=C1)C1=CC=C(S1)C1=C(Br)C=C(I)S1;1,4-dioxane:water,,K3PO4,,PPh3
1308;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]4;53.0;"Article; Joncour, Agnes; Desroy, Nicolas; Housseman, Christopher; Bock, Xavier; Bienvenu, Natacha; Cherel, Laetitia; Labeguere, Virginie; Peixoto, Christophe; Annoot, Denis; Lepissier, Luce; Heiermann, Joerg; Hengeveld, Willem Jan; Pilzak, Gregor; Monjardet, Alain; Wakselman, Emanuelle; Roncoroni, Veronique; Le Tallec, Sandrine; Galien, Rene; David, Christelle; Vandervoort, Nele; Christophe, Thierry; Conrath, Katja; Jans, Mia; Wohlkonig, Alexandre; Soror, Sameh; Steyaert, Jan; Touitou, Robert; Fleury, Damien; Vercheval, Lionel; Mollat, Patrick; Triballeau, Nicolas; Van Der Aar, Ellen; Brys, Reginald; Heckmann, Bertrand; Journal of Medicinal Chemistry; vol. 60; 17; (2017); p. 7371 - 7392;";CCC1=C(N(C)C2=NC(=CS2)C2=CC=C(F)C=C2)N2C=C(Br)C=CC2=N1.OB(O)C1=CC=CN=C1>>CCC1=C(N(C)C2=NC(=CS2)C2=CC=C(F)C=C2)N2C=C(C=CC2=N1)C1=CN=CC=C1;OB(O)C1=CC=CN=C1;CCC1=C(N(C)C2=NC(=CS2)C2=CC=C(F)C=C2)N2C=C(Br)C=CC2=N1;1,4-dioxane:water,,Na2CO3,,PPh3
1325;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;20;P(cychex)3;Pd2(dba)3;52.0;"Article; Kruck, Christian; Nazari, Pariya; Dee, Carolin; Richards, Bryce S.; Turshatov, Andrey; Seitz, Michael; Inorganic Chemistry; vol. 58; 10; (2019); p. 6959 - 6965;";OB(O)C1=CC=NC=C1.CC1=CC(Br)=CC(=N1)C1=NC(C)=CC(Br)=C1>>CC1=CC(=CC(=N1)C1=NC(C)=CC(=C1)C1=CC=NC=C1)C1=CC=NC=C1;OB(O)C1=CC=NC=C1;Cc1cc(Br)cc(-c2cc(-c3ccncc3)cc(C)n2)n1;1,4-dioxane:water,,K3PO4,,Pcy3
1348;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;80;PPh3;Pd[P(Ph)3]4;40.0;"Article; Burzicki, Gregory; Voisin-Chiret, Anne Sophie; Santos, Jana Sopkova-De Oliveira; Rault, Sylvain; Synthesis; 16; (2010); p. 2804 - 2810;";BrC1=CN=C(C=C1)C1=CC=C(N=C1)C1=CC=C(Br)N=C1.OB(O)C1=CC=CN=C1>>BrC1=CN=C(C=C1)C1=CC=C(N=C1)C1=CC=C(N=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;BrC1=CN=C(C=C1)C1=CC=C(N=C1)C1=CC=C(Br)N=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1350;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;100;PPh3;palladium diacetate;42.0;"Article; Coumar, Mohane Selvaraj; Tsai, Ming-Tsung; Chu, Chang-Ying; Uang, Biing-Jiun; Lin, Wen-Hsing; Chang, Chun-Yu; Chang, Teng-Yuan; Leou, Jiun-Shyang; Teng, Chi-Huang; Wu, Jian-Sung; Fang, Ming-Yu; Chen, Chun-Hwa; Hsu, John T.-A.; Wu, Su-Ying; Chao, Yu-Sheng; Hsieh, Hsing-Pang; ChemMedChem; vol. 5; 2; (2010); p. 255 - 267;";OB(O)C1=CC=CO1.OCCNC1=NC=NC2=C1C(Br)=C(O2)C1=CC=CC=C1>>OCCNC1=NC=NC2=C1C(C1=CC=CO1)=C(O2)C1=CC=CC=C1;OB(O)C1=CC=CO1;OCCNC1=NC=NC2=C1C(Br)=C(O2)C1=CC=CC=C1;1,4-dioxane:water,,Na2CO3,,PPh3
1357;N,N-dimethyl-formamide,,water;polar;sodium carbonate;carbonate;120;PPh3;Pd[P(Ph)3]4;40.0;"Article; Innocenti, Paolo; Cheung, Kwai-Ming J.; Solanki, Savade; Mas-Droux, Corine; Rowan, Fiona; Yeoh, Sharon; Boxall, Kathy; Westlake, Maura; Pickard, Lisa; Hardy, Tara; Baxter, Joanne E.; Aherne, G. Wynne; Bayliss, Richard; Fry, Andrew M.; Hoelder, Swen; Journal of Medicinal Chemistry; vol. 55; 7; (2012); p. 3228 - 3241;";CN(C)CC1=CC=C(S1)B(O)O.COC(=O)C1=C(OC(C)C2=CC=CC=C2C(F)(F)F)C=C(C=C1)C1=CC(Br)=CN=C1N>>COC(=O)C1=C(OC(C)C2=CC=CC=C2C(F)(F)F)C=C(C=C1)C1=CC(=CN=C1N)C1=CC=C(CN(C)C)S1;CN(C)CC1=CC=C(S1)B(O)O;COC(=O)C1=C(OC(C)C2=CC=CC=C2C(F)(F)F)C=C(C=C1)C1=CC(Br)=CN=C1N;DMF:water,,Na2CO3,,PPh3
1358;toluene,,water;polarAromatic;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]2Cl2;44.0;"Article; Tavasli, Mustafa; Moore, Tom N.; Zheng, Yonghao; Bryce, Martin R.; Fox, Mark A.; Griffiths, Gareth C.; Jankus, Vygintas; Al-Attar, Hameed A.; Monkman, Andrew P.; Journal of Materials Chemistry; vol. 22; 13; (2012); p. 6419 - 6428;";CCCCCCN1C2=CC=CC=C2C2=C1C=CC(=C2)B(O)O.COC1=CN=C(Br)C=C1>>CCCCCCN1C2=CC=CC=C2C2=CC(=CC=C12)C1=CC=C(OC)C=N1;CCCCCCN1C2=CC=CC=C2C2=C1C=CC(=C2)B(O)O;COC1=CN=C(Br)C=C1;Toluene:water,,Na2CO3,,PPh3
1385;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;140;PPh3;Pd[P(Ph)3]4;54.0;"Article; Drouin, Ludovic; McGrath, Sally; Vidler, Lewis R.; Chaikuad, Apirat; Monteiro, Octovia; Tallant, Cynthia; Philpott, Martin; Rogers, Catherine; Fedorov, Oleg; Liu, Manjuan; Akhtar, Wasim; Hayes, Angela; Raynaud, Florence; Mueller, Susanne; Knapp, Stefan; Hoelder, Swen; Journal of Medicinal Chemistry; vol. 58; 5; (2015); p. 2553 - 2559;";CC1=CN(CCN2C=NC(Br)=C2C2=CC=C(C=C2)C#N)N=N1.OB(O)C1=CC=CN=C1.CC1=CN(CCN2C=NC(Br)=C2C2=CC=C(C=C2)C#N)N=N1.OB(O)C1=CC=CN=C1>>CC1=CN(CCN2C=NC(=C2C2=CC=C(C=C2)C#N)C2=CC=CN=C2)N=N1.CC1=CN(CCN2C=NC(=C2C2=CC=C(C=C2)C(N)=O)C2=CC=CN=C2)N=N1;OB(O)C1=CC=CN=C1;CC1=CN(CCN2C=NC(Br)=C2C2=CC=C(C=C2)C#N)N=N1;1,4-dioxane:water,,Na2CO3,,PPh3
1387;1,4-dioxane,,water;waterEther;potassium phosphate;phosphate;80;PPh3;Pd[P(Ph)3]4;41.0;"Article; Gloaguen, Celine; Voisin-Chiret, Anne Sophie; Sopkova-De Oliveira Santos, Jana; Fogha, Jade; Gautier, Fabien; De Giorgi, Marcella; Burzicki, Gregory; Perato, Serge; Petigny-Lechartier, Cecile; Simonin-Le Jeune, Karin; Brotin, Emilie; Goux, Didier; N'Diaye, Monique; Lambert, Bernard; Louis, Marie-Helene; Ligat, Laetitia; Lopez, Frederic; Juin, Philippe; Bureau, Ronan; Rault, Sylvain; Poulain, Laurent; Journal of Medicinal Chemistry; vol. 58; 4; (2015); p. 1644 - 1668;";CC1=CC(=CN=C1Br)C1=NC=C(C=C1\C=C\C1=CC=CC=C1)C1=CC=CC=C1.OB(O)C1=CC=CN=C1>>CC1=C(N=CC(=C1)C1=NC=C(C=C1\C=C\C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CN=C1;OB(O)C1=CC=CN=C1;CC1=CC(=CN=C1Br)C1=NC=C(C=C1\C=C\C1=CC=CC=C1)C1=CC=CC=C1;1,4-dioxane:water,,K3PO4,,PPh3
1392;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;90;PPh3;Pd[P(Ph)3]4;44.0;"Article; Marzinzik, Andreas L.; Amstutz, Rene; Bold, Guido; Bourgier, Emmanuelle; Cotesta, Simona; Glickman, J. Fraser; Goette, Marjo; Henry, Christelle; Lehmann, Sylvie; Hartwieg, J. Constanze D.; Ofner, Silvio; Pelle, Xavier; Roddy, Thomas P.; Rondeau, Jean-Michel; Stauffer, Frederic; Stout, Steven J.; Widmer, Armin; Zimmermann, Johann; Zoller, Thomas; Jahnke, Wolfgang; ChemMedChem; vol. 10; 11; (2015); p. 1884 - 1891;";OB(O)C1=CC=CC2=C1C=CN2.COC(=O)C1=CC2=C(N1)C=CC=C2Br>>COC(=O)C1=CC2=C(N1)C=CC=C2C1=C2C=CNC2=CC=C1;OB(O)C1=CC=CC2=C1C=CN2;COC(=O)C1=CC2=C(N1)C=CC=C2Br;1,4-dioxane:water,,Na2CO3,,PPh3
1397;1,4-dioxane,,water;waterEther;sodium carbonate;carbonate;140;PPh3;Pd[P(Ph)3]2Cl2;35.0;"Article; Barry Toure; Giraldes, John; Smith, Troy; Sprague, Elizabeth R.; Wang, Yaping; Mathieu, Simon; Chen, Zhuoliang; Mishina, Yuji; Feng, Yun; Yan-Neale, Yan; Shakya, Subarna; Chen, Dongshu; Meyer, Matthew; Puleo, David; Tres Brazell; Straub, Christopher; Sage, David; Wright, Kirk; Yuan, Yanqiu; Chen, Xin; Duca, Jose; Kim, Sean; Tian, Li; Martin, Eric; Hurov, Kristen; Shao, Wenlin; Journal of Medicinal Chemistry; vol. 59; 10; (2016); p. 4711 - 4723;";COC1=CN=CC=C1B(O)O.CN1CCN(CC1)C1=CC=C(C=C1)N1C=C(Br)C=N1>>COC1=C(C=CN=C1)C1=CN(N=C1)C1=CC=C(C=C1)N1CCN(C)CC1;COC1=CN=CC=C1B(O)O;CN1CCN(CC1)C1=CC=C(C=C1)N1C=C(Br)C=N1;1,4-dioxane:water,,Na2CO3,,PPh3
